Category,Title,Authors,Categories,PriceNIS,PriceUSD,Year,Synopsis,SynopsisLength,NumberOfReviews,StarRating,Language,Format,Dimensions,DimensionsUnit,ISBN13,book_url,Weight,WeightUnit,ISBN,IsExpensive,NumberOfAuthors
"Graphic Novels, Comic Books, Cartoons",Batman: Year one,David Mazzucchelli,"Graphic novels / comics: crime, mystery and suspense,Graphic novels / comics: superheroes and supervillains",49.5,16.45,2005.0,"In 1986, Frank Miller and David Mazzucchelli produced this groundbreaking reinterpretation of the origin of Batman--who he is, and how he came to be. Sometimes careless and naive, this Dark Knight is far from the flawless vigilante he is today. In his first year on the job, Batman feels his way around a Gotham City far darker than the one he left. His solemn vow to extinguish the town's criminal element is only half the battle; along with Lieutenant James Gordon, the Dark Knight must also fight a police force more corrupt than the scum in the streets. Batman: Year One stands next to Batman: The Dark Knight Returns on the mantle of greatest Batman graphic novels of all time. Timeless in its appeal, Frank Miller and David Mazzucchelli's masterpiece would stand apart from the crowded comics field even today. This edition includes the complete graphic novel, a new introduction by writer Frank Miller and a new illustrated afterword by artist David Mazzucchelli. Completing this collection are over 40 pages of never-before-seen developmental material such as character and layout sketches, sample script pages, sketches, and more that pro-vide a glimpse into the making of this contemporary classic. This volume collects Batman #404-407.",1246.0,5,4.8,English,Paperback,"25.4,16.5,1.3",cm,9781401207526,https://www.bookdelivery.com/il-en/book-batman-year-one/9781401207526/p/1856379,0.2,kg,1401207529,0,1
"Earth Sciences, Geography, Environment, Planning","Battle of ink and Ice: A Sensational Story of News Barons, North Pole Explorers, and the Making of Modern Media","Hartman, Darrell","United states of america,20th century, c. 1900–c. 1999,Media studies,General and world history,American history,Geographical discovery and exploration",82.77,27.5,,"'Absolutely gripping... a perfectly splendid read--I highly, highly recommend it' -- Douglas Preston, author of the #1 New York Times bestseller The Lost City of the Monkey God A sixty-year saga of frostbite and fake news that follows the no-holds-barred battle between two legendary explorers to reach the North Pole, and the newspapers which stopped at nothing to get-and sell-the story. In the fall of 1909, a pair of bitter contests captured the world's attention. The American explorers Robert Peary and Frederick Cook both claimed to have discovered the North Pole, sparking a vicious feud that was unprecedented in international scientific and geographic circles. At the same time, the rivalry between two powerful New York City newspapers--the storied Herald and the ascendant Times--fanned the flames of the so-called polar controversy, as each paper financially and reputationally committed itself to an opposing explorer and fought desperately to defend him. The Herald was owned and edited by James Gordon Bennett, Jr., an eccentric playboy whose nose for news was matched only by his appetite for debauchery and champagne. The Times was published by Adolph Ochs, son of Jewish immigrants, who'd improbably rescued the paper from extinction and turned it into an emerging powerhouse. The battle between Cook and Peary would have enormous consequences for both newspapers, and help to determine the future of corporate media. BATTLE OF INK AND ICE presents a frank portrayal of Arctic explorers, brave men who both inspired and deceived the public. It also sketches a vivid portrait of the newspapers that funded, promoted, narrated, and often distorted their exploits. It recounts a sixty-year saga of frostbite and fake news, one that culminates with an unjustly overlooked chapter in the origin story of the modern New York Times. By turns tragic and absurd, BATTLE OF INK AND ICE brims with contemporary relevance, touching as it does on themes of class, celebrity, the ever-quickening news cycle, and the benefits and pitfalls of an increasingly interconnected world. Above all, perhaps, its cast of characters testifies--colorfully and compellingly--to the ongoing role of personality and publicity in American cultural life as the Gilded Age gave way to the twentieth century--the American century.",2316.0,0,None,English,Hardcover,,,9780593297162,https://www.bookdelivery.com/il-en/book-battle-of-ink-and-ice-a-sensational-story-of-news-barons-north-pole-explorers-and-the-making-of-modern-media/9780593297162/p/54970260,0.57,kg,,1,2
History And Archaeology,"Battle of ink and Ice: A Sensational Story of News Barons, North Pole Explorers, and the Making of Modern Media","Hartman, Darrell","United states of america,20th century, c. 1900–c. 1999,Media studies,General and world history,American history,Geographical discovery and exploration",82.77,27.5,,"'Absolutely gripping... a perfectly splendid read--I highly, highly recommend it' -- Douglas Preston, author of the #1 New York Times bestseller The Lost City of the Monkey God A sixty-year saga of frostbite and fake news that follows the no-holds-barred battle between two legendary explorers to reach the North Pole, and the newspapers which stopped at nothing to get-and sell-the story. In the fall of 1909, a pair of bitter contests captured the world's attention. The American explorers Robert Peary and Frederick Cook both claimed to have discovered the North Pole, sparking a vicious feud that was unprecedented in international scientific and geographic circles. At the same time, the rivalry between two powerful New York City newspapers--the storied Herald and the ascendant Times--fanned the flames of the so-called polar controversy, as each paper financially and reputationally committed itself to an opposing explorer and fought desperately to defend him. The Herald was owned and edited by James Gordon Bennett, Jr., an eccentric playboy whose nose for news was matched only by his appetite for debauchery and champagne. The Times was published by Adolph Ochs, son of Jewish immigrants, who'd improbably rescued the paper from extinction and turned it into an emerging powerhouse. The battle between Cook and Peary would have enormous consequences for both newspapers, and help to determine the future of corporate media. BATTLE OF INK AND ICE presents a frank portrayal of Arctic explorers, brave men who both inspired and deceived the public. It also sketches a vivid portrait of the newspapers that funded, promoted, narrated, and often distorted their exploits. It recounts a sixty-year saga of frostbite and fake news, one that culminates with an unjustly overlooked chapter in the origin story of the modern New York Times. By turns tragic and absurd, BATTLE OF INK AND ICE brims with contemporary relevance, touching as it does on themes of class, celebrity, the ever-quickening news cycle, and the benefits and pitfalls of an increasingly interconnected world. Above all, perhaps, its cast of characters testifies--colorfully and compellingly--to the ongoing role of personality and publicity in American cultural life as the Gilded Age gave way to the twentieth century--the American century.",2316.0,0,None,English,Hardcover,,,9780593297162,https://www.bookdelivery.com/il-en/book-battle-of-ink-and-ice-a-sensational-story-of-news-barons-north-pole-explorers-and-the-making-of-modern-media/9780593297162/p/54970260,0.57,kg,,1,2
History And Archaeology,Battles of the Civil war,Thomas Elbert Vineyard,Military history,51.63,17.16,2020.0,"Battles Of The Civil War This book is a result of an effort made by us towards making a contribution to the preservation and repair of original classic literature. In an attempt to preserve, improve and recreate the original content, we have worked towards: 1. Type-setting & Reformatting: The complete work has been re-designed via professional layout, formatting and type-setting tools to re-create the same edition with rich typography, graphics, high quality images, and table elements, giving our readers the feel of holding a 'fresh and newly' reprinted and/or revised edition, as opposed to other scanned & printed (Optical Character Recognition - OCR) reproductions. 2. Correction of imperfections: As the work was re-created from the scratch, therefore, it was vetted to rectify certain conventional norms with regard to typographical mistakes, hyphenations, punctuations, blurred images, missing content/pages, and/or other related subject matters, upon our consideration. Every attempt was made to rectify the imperfections related to omitted constructs in the original edition via other references. However, a few of such imperfections which could not be rectified due to intentional\unintentional omission of content in the original edition, were inherited and preserved from the original work to maintain the authenticity and construct, relevant to the work. We believe that this work holds historical, cultural and/or intellectual importance in the literary works community, therefore despite the oddities, we accounted the work for print as a part of our continuing effort towards preservation of literary work and our contribution towards the development of the society as a whole, driven by our beliefs. We are grateful to our readers for putting their faith in us and accepting our imperfections with regard to preservation of the historical content. HAPPY READING!",1884.0,0,None,English,Paperback,,,9789390294725,https://www.bookdelivery.com/il-en/book-battles-of-the-civil-war/9789390294725/p/53347652,,,,0,1
Arts,Bauhaus,Magdalena Droste,"Modernism,Art history,Furniture design,History of architecture",63.27,21.02,2015.0,"In a fleeting fourteen year period, sandwiched between two world wars, Germany's Bauhaus school of art and design changed the face of modernity. With utopian ideals for the future, the school developed a pioneering fusion of fine art, craftsmanship, and technology to be applied across painting, sculpture, design, architecture, film, photography, textiles, ceramics, theatre, and installation.As much an intense personal community as a publicly minded collective, the Bauhaus was first founded by Walter Gropius (1883-1969), and counted Josef and Anni Albers, Wassily Kandinsky, Paul Klee, Oskar Schlemmer, Gunta Stölzl, Marianne Brandt and Ludwig Mies van der Rohe among its members. Between its three successive locations in Weimar, Dessau and Berlin, the school fostered charismatic and creative exchange between teachers and students, all varied in their artistic styles and preferences, but united in their idealism and their interest in a 'total' work of art across different practices and media.This book celebrates the adventurous innovation of the Bauhaus movement, both as a trailblazer in the development of modernism, and as a paradigm of art education, where an all-encompassing freedom of creative expression and cutting-edge ideas led to functional and beautiful creations.About the seriesBorn back in 1985, the Basic Art Series has evolved into the best-selling art book collection ever published. Each book in TASCHEN's Basic Architecture series features: an introduction to the life and work of the architectthe major works in chronological orderinformation about the clients, architectural preconditions as well as construction problems and resolutionsa list of all the selected works and a map indicating the locations of the best and most famous buildingsapproximately 120 illustrations (photographs, sketches, drafts, and plans)",1851.0,1,3.0,English,Hardcover,"26.00,21.00",,9783836560146,https://www.bookdelivery.com/il-en/book-bauhaus/9783836560146/p/48104561,0.61,kg,9783836560146,0,1
Philosophy And Religion,Be Here now,"Dass, Ram","Hinduism,Mindfulness,Mind, body and spirit: thought and practice,Mind, body and spirit: meditation and visualisation",58.81,19.54,1971.0,"Beloved guru Ram Dass tells the story of his spiritual awakening and gives you the tools to take control of your life in this 'counterculture bible' (The New York Times) featuring powerful guidance on yoga, meditation, and finding your true self. When Be Here Now was first published in 1971, it filled a deep spiritual emptiness, launched the ongoing mindfulness revolution, and established Ram Dass as perhaps the preeminent seeker of the twentieth century. Just ten years earlier, he was known as Professor Richard Alpert. He held appointments in four departments at Harvard University. He published books, drove a Mercedes and regularly vacationed in the Caribbean. By most societal standards, he had achieved great success. . . . And yet he couldn't escape the feeling that something was missing. Psilocybin and LSD changed that. During a period of experimentation, Alpert peeled away each layer of his identity, disassociating from himself as a professor, a social cosmopolite, and lastly, as a physical being. Fear turned into exaltation upon the realization that at his truest, he was just his inner-self: a luminous being that he could trust indefinitely and love infinitely. And thus, a spiritual journey commenced. Alpert headed to India where his guru renamed him Baba Ram Dass--'servant of God.' He was introduced to mindful breathing exercises, hatha yoga, and Eastern philosophy. If he found himself reminiscing or planning, he was reminded to 'Be Here Now.' He started upon the path of enlightenment, and has been journeying along it ever since. Be Here Now is a vehicle for sharing the true message, and a guide to self-determination.",1651.0,6,4.17,English,Paperback,"20.4,20.3,2.7",cm,9780517543054,https://www.bookdelivery.com/il-en/book-be-here-now/9780517543054/p/1527188,0.62,kg,9780517543054,0,2
"Health, Relationships And Personal Development",Be Here now,"Dass, Ram","Hinduism,Mindfulness,Mind, body and spirit: thought and practice,Mind, body and spirit: meditation and visualisation",58.81,19.54,1971.0,"Beloved guru Ram Dass tells the story of his spiritual awakening and gives you the tools to take control of your life in this 'counterculture bible' (The New York Times) featuring powerful guidance on yoga, meditation, and finding your true self. When Be Here Now was first published in 1971, it filled a deep spiritual emptiness, launched the ongoing mindfulness revolution, and established Ram Dass as perhaps the preeminent seeker of the twentieth century. Just ten years earlier, he was known as Professor Richard Alpert. He held appointments in four departments at Harvard University. He published books, drove a Mercedes and regularly vacationed in the Caribbean. By most societal standards, he had achieved great success. . . . And yet he couldn't escape the feeling that something was missing. Psilocybin and LSD changed that. During a period of experimentation, Alpert peeled away each layer of his identity, disassociating from himself as a professor, a social cosmopolite, and lastly, as a physical being. Fear turned into exaltation upon the realization that at his truest, he was just his inner-self: a luminous being that he could trust indefinitely and love infinitely. And thus, a spiritual journey commenced. Alpert headed to India where his guru renamed him Baba Ram Dass--'servant of God.' He was introduced to mindful breathing exercises, hatha yoga, and Eastern philosophy. If he found himself reminiscing or planning, he was reminded to 'Be Here Now.' He started upon the path of enlightenment, and has been journeying along it ever since. Be Here Now is a vehicle for sharing the true message, and a guide to self-determination.",1651.0,6,4.17,English,Paperback,"20.4,20.3,2.7",cm,9780517543054,https://www.bookdelivery.com/il-en/book-be-here-now/9780517543054/p/1527188,0.62,kg,9780517543054,0,2
"Lifestyle, Hobbies And Leisure",Beachbum Berry's Intoxica!,"Berry, Jeff,Bosko,Berry, Jeff","Popular culture,Wines",47.98,15.95,2003.0,"NOTE: This edition is no longer spiral bound. Elixirs Exotica! More lost recipes from the Golden Age of the Tiki Bar from the Polynesian Pop Scholar and Mixologist Jeff Berry, co-author of the praised Beach Bum Berryâ€™s Grog Log - dubbed 'the best bar guide for tropical drinks ever published' by Joe Bob Briggs. Packed with vintage graphics on every page, and everything you need to know about making the perfect tropical drink. With additional commentary from Berry, and a cover by renowned tiki artist Bosko.'A serious tiki cocktail book' - William Grimes, The New York Times",579.0,1,5.0,English,Paperback,"21.0,14.3,0.7",cm,9780943151571,https://www.bookdelivery.com/il-en/book-beachbum-berry-s-intoxica/9780943151571/p/1660385,0.12,kg,0943151570,0,5
Society And Social Sciences,Beachbum Berry's Intoxica!,"Berry, Jeff,Bosko,Berry, Jeff","Popular culture,Wines",47.98,15.95,2003.0,"NOTE: This edition is no longer spiral bound. Elixirs Exotica! More lost recipes from the Golden Age of the Tiki Bar from the Polynesian Pop Scholar and Mixologist Jeff Berry, co-author of the praised Beach Bum Berryâ€™s Grog Log - dubbed 'the best bar guide for tropical drinks ever published' by Joe Bob Briggs. Packed with vintage graphics on every page, and everything you need to know about making the perfect tropical drink. With additional commentary from Berry, and a cover by renowned tiki artist Bosko.'A serious tiki cocktail book' - William Grimes, The New York Times",579.0,1,5.0,English,Paperback,"21.0,14.3,0.7",cm,9780943151571,https://www.bookdelivery.com/il-en/book-beachbum-berry-s-intoxica/9780943151571/p/1660385,0.12,kg,0943151570,0,5
"Graphic Novels, Comic Books, Cartoons",Beano Christmas Joke Book,Beano Studios,"Graphic novels / comics: memoirs, true stories and non-fiction,Infant/youth, general interest: cartoons and comics",33.65,11.18,,"200 jokes to giggle, cackle and snort at this Christmas!Join the residents of Beanotown as they enter an epic festive comedy battle to find the best Christmas joke of all time.Each resident can only enter one joke, but they have LOADS of ideas. Can you help them decide which joke is funniest?Included are: Cool snowman jokes (duh)Rude(olf) reindeer jokes (a dozen duhs)Ho-ho-holarious Santa jokes (well, DUH!)And snow many more!Just try not to pee yourself with laughter - no one likes yellow snow!",499.0,0,None,English,Paperback,,,9780008616533,https://www.bookdelivery.com/il-en/book-beano-christmas-joke-book/9780008616533/p/57115446,,,,0,1
"Children’s, Young Adult And Educational",Beano Christmas Joke Book,Beano Studios,"Graphic novels / comics: memoirs, true stories and non-fiction,Infant/youth, general interest: cartoons and comics",33.65,11.18,,"200 jokes to giggle, cackle and snort at this Christmas!Join the residents of Beanotown as they enter an epic festive comedy battle to find the best Christmas joke of all time.Each resident can only enter one joke, but they have LOADS of ideas. Can you help them decide which joke is funniest?Included are: Cool snowman jokes (duh)Rude(olf) reindeer jokes (a dozen duhs)Ho-ho-holarious Santa jokes (well, DUH!)And snow many more!Just try not to pee yourself with laughter - no one likes yellow snow!",499.0,0,None,English,Paperback,,,9780008616533,https://www.bookdelivery.com/il-en/book-beano-christmas-joke-book/9780008616533/p/57115446,,,,0,1
"Children’s, Young Adult And Educational",Bear Bottom (Funjungle),Stuart Gibbs,"Children’s / young adult fiction: crime and mystery fiction,Children’s / young adult fiction: humorous stories",44.17,14.68,,"In the seventh novel in New York Times bestselling Stuart Gibbs's FunJungle series, Teddy Fitzroy returns as FunJungle's resident sleuth to solve the disappearances of endangered bison and an irreplaceable necklace. Teddy Fitzroy, his family, and some other FunJungle employees have been invited to visit a bison ranch just outside Yellowstone National Park that FunJungle's owner, J.J. McCracken, is considering purchasing. But as usual, trouble isn't far behind. The ranch's endangered bison have been mysteriously disappearing. Then a massive local grizzly bear named Sasquatch breaks into the house, causing chaos. In the aftermath, Kandace McCracken discovers that her exceptionally expensive sapphire necklace has vanished. Was it stolen? Or did Sasquatch eat it? (And if so, can it be recovered?) And what's been happening to the bison? With over a dozen suspects, it's up to Teddy to detangle this hairy situation, before his family or friends--or any more expensive objects--become dinner.",998.0,0,None,English,Paperback,"18.5,12.4,2.3",cm,9781534479470,https://www.bookdelivery.com/il-en/book-bear-bottom-funjungle/9781534479470/p/54423072,0.23,kg,,0,1
"Earth Sciences, Geography, Environment, Planning","Bears of the World: Ecology, Conservation and Management",Vincenzo Penteriani,Applied ecology,590.18,196.08,2020.0,"Bears have fascinated people since ancient times. The relationship between bears and humans dates back thousands of years, during which time we have also competed with bears for shelter and food. In modern times, bears have come under pressure through encroachment on their habitats, climate change, and illegal trade in their body parts, including the Asian bear bile market. The IUCN lists six bears as vulnerable or endangered, and even the least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. Covering all bears species worldwide, this beautifully illustrated volume brings together the contributions of 200 international bear experts on the ecology, conservation status, and management of the Ursidae family. It reveals the fascinating long history of interactions between humans and bears and the threats affecting these charismatic species.",999.0,0,None,English,Hardcover,,,9781108483520,https://www.bookdelivery.com/il-en/book-bears-of-the-world-ecology-conservation-and-management/9781108483520/p/53461626,,,,1,1
"Children’s, Young Adult And Educational","Beast Within, The-Villains, Book 2",Serena Valentino,"Children’s / young adult fiction: fantasy,Children’s / young adult fiction: traditional tales",58.32,19.38,,"A cursed prince sits alone in a secluded castle.Few have seen him, but those who claim they have say his hair is wild and nails are sharp--like a beast's! But how did this prince, once jovial and beloved by the people, come to be a reclusive and bitter monster? And is it possible that he can ever find true love and break the curse that has been placed upon him? Enjoy Serena Valentino's entire Villain's series.Fairest of All: A Tale of the Wicked Queen (Book 1)The Beast Within: A Tale of Beauty's Prince (Book 2)Poor Unfortunate Soul: A Tale of the Sea Witch (Book 3)Mistress of All Evil: A Tale of the Dark Fairy (Book 4)Mother Knows Best: A Tale of the Old Witch (Book 5)The Odd Sisters: A Villains Novel (Book 6)Evil Thing (Book 7)",738.0,2,5.0,English,Hardcover,"18.0,14.7,2.3",cm,9781423159124,https://www.bookdelivery.com/il-en/book-beast-within-the-villains-book-2/9781423159124/p/48506300,0.32,kg,9781423159124,0,1
"Medicine, Nursing, Veterinary Medicine",Beating Ankylosing Spondylitis Naturally,Dr. Scott A Johnson,"Immunology,Coping with chronic or long-term illnesses or conditions",49.9,16.58,2014.0,,,0,None,English,Paperback,,,9781502403759,https://www.bookdelivery.com/il-en/book-beating-ankylosing-spondylitis-naturally/9781502403759/p/48492431,,,,0,1
"Health, Relationships And Personal Development",Beating the Street,"Lynch, Peter,Rothchild, John","Biography: business and industry,Investments and securities,Personal finance",50.07,16.64,,"Legendary money manager Peter Lynch explains his own strategies for investing and offers advice for how to pick stocks and mutual funds to assemble a successful investment portfolio. Develop a Winning Investment Strategy--with Expert Advice from 'The Nation's #1 Money Manager.' Peter Lynch's 'invest in what you know' strategy has made him a household name with investors both big and small. An important key to investing, Lynch says, is to remember that stocks are not lottery tickets. There's a company behind every stock and a reason companies--and their stocks--perform the way they do. In this book, Peter Lynch shows you how you can become an expert in a company and how you can build a profitable investment portfolio, based on your own experience and insights and on straightforward do-it-yourself research. In Beating the Street, Lynch for the first time explains how to devise a mutual fund strategy, shows his step-by-step strategies for picking stock, and describes how the individual investor can improve his or her investment performance to rival that of the experts. There's no reason the individual investor can't match wits with the experts, and this book will show you how.",1192.0,0,None,English,Paperback,"21.5,13.9,2.0",cm,9780671891633,https://www.bookdelivery.com/il-en/book-beating-the-street/9780671891633/p/1549686,0.31,kg,0671891634,0,4
"Biography, Literature And Literary Studies",Beating the Street,"Lynch, Peter,Rothchild, John","Biography: business and industry,Investments and securities,Personal finance",50.07,16.64,,"Legendary money manager Peter Lynch explains his own strategies for investing and offers advice for how to pick stocks and mutual funds to assemble a successful investment portfolio. Develop a Winning Investment Strategy--with Expert Advice from 'The Nation's #1 Money Manager.' Peter Lynch's 'invest in what you know' strategy has made him a household name with investors both big and small. An important key to investing, Lynch says, is to remember that stocks are not lottery tickets. There's a company behind every stock and a reason companies--and their stocks--perform the way they do. In this book, Peter Lynch shows you how you can become an expert in a company and how you can build a profitable investment portfolio, based on your own experience and insights and on straightforward do-it-yourself research. In Beating the Street, Lynch for the first time explains how to devise a mutual fund strategy, shows his step-by-step strategies for picking stock, and describes how the individual investor can improve his or her investment performance to rival that of the experts. There's no reason the individual investor can't match wits with the experts, and this book will show you how.",1192.0,0,None,English,Paperback,"21.5,13.9,2.0",cm,9780671891633,https://www.bookdelivery.com/il-en/book-beating-the-street/9780671891633/p/1549686,0.31,kg,0671891634,0,4
"Economics, Finance, Business And Management",Beating the Street,"Lynch, Peter,Rothchild, John","Biography: business and industry,Investments and securities,Personal finance",50.07,16.64,,"Legendary money manager Peter Lynch explains his own strategies for investing and offers advice for how to pick stocks and mutual funds to assemble a successful investment portfolio. Develop a Winning Investment Strategy--with Expert Advice from 'The Nation's #1 Money Manager.' Peter Lynch's 'invest in what you know' strategy has made him a household name with investors both big and small. An important key to investing, Lynch says, is to remember that stocks are not lottery tickets. There's a company behind every stock and a reason companies--and their stocks--perform the way they do. In this book, Peter Lynch shows you how you can become an expert in a company and how you can build a profitable investment portfolio, based on your own experience and insights and on straightforward do-it-yourself research. In Beating the Street, Lynch for the first time explains how to devise a mutual fund strategy, shows his step-by-step strategies for picking stock, and describes how the individual investor can improve his or her investment performance to rival that of the experts. There's no reason the individual investor can't match wits with the experts, and this book will show you how.",1192.0,0,None,English,Paperback,"21.5,13.9,2.0",cm,9780671891633,https://www.bookdelivery.com/il-en/book-beating-the-street/9780671891633/p/1549686,0.31,kg,0671891634,0,4
Arts,Beauty is in the Street: A Visual Record of the may '68 Paris Uprising,"Kugelberg Johan,Vermès Philippe",Illustration,111.05,36.9,2011.0,"In May 1968, thousands of workers and students took to the streets of Paris, provoking an unprecedented wave of strikes, walkouts and demonstrations. The confrontations between police and protesters led to a general strike of eleven million workers that brought the country to a virtual standstill and nearly toppled Charles de Gaulle's government. The faculty and student body of the Ecole des Beaux Arts were among the strikers, and a number of the students met spontaneously in the college's lithographic department to produce the first poster of the revolt, which bore the declaration 'Usines, Universités, Union' ('Factories and universities unite,' loosely translated). From this initiative was born the Atelier Populaire (or 'popular workshop' ), a collective of print shops that produced hundreds of posters to encourage the protestors and to report on police brutality. These posters included many of the often Situationist-inspired mottos for which May '68 is remembered today, such as 'Be young and shut up' and 'return to normal' (accompanied by a picture of a herd of sheep). Beauty Is in the Street reproduces more than 200 of these posters in full color, which have since become landmarks in political art and graphic design. Also included is a thumbnail index of an additional 411 posters; a wealth of archival documentary photographs and new translations of firsthand accounts of the clashes between the students and strikers and the police, many published in English for the first time; and an introduction by Philippe Vermès, one of the founders of the Atelier Populaire.",1590.0,0,None,English,Hardcover,"28.8,23.9,3.4",cm,9780956192837,https://www.bookdelivery.com/il-en/book-beauty-is-in-the-street-a-visual-record-of-the-may-68-paris-uprising/9780956192837/p/4494854,1.63,,,1,2
Computing And Information Technology,Bebesaurias: Guía definitiva para arruinar tu vida (in Spanish),Josefina González (@beibijosephine),Online security and conduct guidelines,92.24,30.65,2026.0,"Humor, actividades y delirios para enfrentar el absurdo de la vida actual El manual interactivo y decisivo que necesitas para hacerle frente al caos de la vida actual. Un instructivo sofisticado y veraz para salvarte de tus propios pensamientos. «Resucité de la risa» JESUCRISTO «La segunda Biblia» SIMONE DE BEAUVOIR «Sócrates pronunció en la antigüedad aquella famosa frase: solo sé que nada sé, profetizando hace más de dos mil años el nacimiento de esta delicada obra que hoy tenemos en nuestras manos. Si bien esta entrega fundamental de la cultura occidental contemporánea pretende llevarnos por el camino de la ignorancia —en palabras de la misma autora—, termina por imponerse como poseedora de la Verdad absoluta e incuestionable.» WILLIAM SHAKESPEARE",760.0,1,5.0,Spanish,Paperback,"15,21",cm,9789564089232,https://www.bookdelivery.com/il-en/book-bebesaurias-guia-definitiva-para-arruinar-tu-vida/9789564089232/p/66855645,,,,1,1
"Children’s, Young Adult And Educational",Because,Mo Willems,"Children’s / young adult fiction: general fiction,Children/young adult, general interest: music,Children/young adult, general interest: work and industry / the world of work,Infant / youth, personal and social issues: growing up and first experiences",56.11,18.65,2019.0,"Mo Willems, a number one New York Times best-selling author and illustrator, composes a powerful symphony of chance, discovery, persistence, and magic in this moving tale of a young girl's journey to center stage. Illustrator Amber Ren brings Willems' music to life, conducting a stunning picture-book debut.",308.0,0,None,English,Hardcover,"26.0,26.4,1.3",cm,9781368019019,https://www.bookdelivery.com/il-en/book-because/9781368019019/p/51478442,0.43,kg,,0,1
"Earth Sciences, Geography, Environment, Planning",Becoming Animal: An Earthly Cosmology,"Abram, David","Anthropology,Applied ecology",60.59,20.13,2011.0,"David Abram's first book, The Spell of the Sensuous has become a classic of environmental literature. Now he returns with a startling exploration of our human entanglement with the rest of nature. As the climate veers toward catastrophe, the innumerable losses cascading through the biosphere make vividly evident the need for a metamorphosis in our relation to the living land. For too long we've ignored the wild intelligence of our bodies, taking our primary truths from technologies that hold the living world at a distance. Abram's writing subverts this distance, drawing readers ever closer to their animal senses in order to explore, from within, the elemental kinship between the human body and the breathing Earth. The shape-shifting of ravens, the erotic nature of gravity, the eloquence of thunder, the pleasures of being edible: all have their place in this book.",875.0,0,None,English,Paperback,"20.3,13.5,1.8",cm,9780375713699,https://www.bookdelivery.com/il-en/book-becoming-animal-an-earthly-cosmology/9780375713699/p/4443096,0.26,kg,,0,2
"Medicine, Nursing, Veterinary Medicine",Becoming Supernatural: How Common People are Doing the Uncommon,Joe Dispenza,"Psychotherapy,Mind, body and spirit: thought and practice",60.54,20.12,2019.0,"A WALL STREET JOURNAL BESTSELLER by DR. JOE DISPENZA, the author of the New York Times bestseller You Are the Placebo, as well as Breaking the Habit of Being Yourself and Evolve Your Brain. Becoming Supernatural draws on epigenetics, quantum physics & neuroscience research conducted at his advanced workshops since 2012 to explore how common people are doing the uncommon to transform their consciousness, mindset, and beliefs to heal and live SUPERNATURAL lives. 'From a gifted scientist and passionate teacher, this unique and practical guide shows us--step by step--how to move beyond the limits of the known and into an extraordinary new life.' -- Tony Robbins, #1 New York Times best-selling author of Unshakeable Becoming Supernatural marries some of the most profound scientific information with ancient spiritual wisdom to show how people like you and me can experience a more mystical life. Readers will learn that we are, quite literally supernatural by nature if given the proper knowledge and instruction, and when we learn how to apply that information through various healing meditations, we should experience a greater expression of our creative abilities. We have the capacity to tune in to frequencies beyond our material world and receive more orderly coherent streams of consciousness and energy; that we can intentionally change our brain chemistry to initiate profoundly mystical transcendental experiences; and how, if we do this enough times, we can develop the skill of creating a more efficient, balanced, healthy body, a more unlimited mind, and greater access to the quantum field and the realms of spiritual truth. Topics include: - Demystifying the body's 7 energy centers and how you can balance them to heal - How to free yourself from the past by reconditioning your body to a new mind - How you can create reality in the generous present moment by changing your energy - The difference between third-dimension creation and fifth-dimension creation - The secret science of the pineal gland and its role in accessing mystical realms of reality - The distinction between Space-Time vs. Time-Space realities - And much more Chapters include: - Opening the Door to the Supernatural- The Present Moment- Tuning In to New Potentials in the Quantum- Blessing of the Energy Centers- Reconditioning the Body to a New Mind- Case Studies: Living Examples of Truth- Heart Intelligence- Mind Movies/Kaleidoscope- Walking Meditation- Case Studies: Making It Real- Space-Time and Time-Space- The Pineal Gland- Project Coherence: Making a Better World- Case Studies: It Could Happen to You Using tools and disciplines ranging from cutting-edge physics to practical exercises such as a walking meditation, Dr. Joe offers nothing less than a proven program for stepping outside our physical reality and into the quantum field of infinite possibilities. 'Dr. Joe Dispenza is a doctor, a scientist, and a modern-day mystic. . . . In a style that is simple, straightforward, and easy to understand, [he] has woven into a single volume the paradigm-altering discoveries of quantum science and the deep teachings that adepts of the past dedicated their entire lifetimes to master.' -- from the foreword by Gregg Braden, New York Times best-selling author of Human by Design and The Divine Matrix 'I wrote this book to take what I've always thought was possible to the next level of understanding. I wanted to demonstrate to the world that we can create better lives for ourselves--and that we are not linear beings living linear lives, but dimensional beings living dimensional lives. Hopefully, reading it will help you understand that you already have all the anatomy, chemistry, and physiology you need to become supernatural sitting latent within you, waiting to be awakened and activated.' - Dr. Joe Dispenza New York Times best-selling author Researcher of epigenetics, quantum physics & neuroscience",3916.0,2,5.0,English,Paperback,"22.6,15.2,2.8",cm,9781401953119,https://www.bookdelivery.com/il-en/book-becoming-supernatural-how-common-people-are-doing-the-uncommon/9781401953119/p/51599858,0.57,kg,,0,1
